relationship_id,skill_id,level_id,proficiency_description
SL0136,S034,L019,Docker proficiency at 8-12 Years Experience level
SL0137,S035,L016,Kubernetes proficiency at 0-2 Years Experience level
SL0138,S035,L017,Kubernetes proficiency at 2-5 Years Experience level
SL0139,S035,L018,Kubernetes proficiency at 5-8 Years Experience level
SL0140,S035,L019,Kubernetes proficiency at 8-12 Years Experience level
SL0141,S036,L016,Terraform proficiency at 0-2 Years Experience level
SL0142,S036,L017,Terraform proficiency at 2-5 Years Experience level
SL0143,S036,L018,Terraform proficiency at 5-8 Years Experience level
SL0144,S036,L019,Terraform proficiency at 8-12 Years Experience level
SL0145,S037,L016,Jenkins proficiency at 0-2 Years Experience level
SL0146,S037,L017,Jenkins proficiency at 2-5 Years Experience level
SL0147,S037,L018,Jenkins proficiency at 5-8 Years Experience level
SL0148,S037,L019,Jenkins proficiency at 8-12 Years Experience level
SL0149,S038,L016,Git proficiency at 0-2 Years Experience level
SL0150,S038,L017,Git proficiency at 2-5 Years Experience level
SL0151,S038,L018,Git proficiency at 5-8 Years Experience level
SL0152,S038,L019,Git proficiency at 8-12 Years Experience level
SL0153,S039,L016,GitHub proficiency at 0-2 Years Experience level
SL0154,S039,L017,GitHub proficiency at 2-5 Years Experience level
SL0155,S039,L018,GitHub proficiency at 5-8 Years Experience level
SL0156,S039,L019,GitHub proficiency at 8-12 Years Experience level
SL0157,S040,L016,GitLab proficiency at 0-2 Years Experience level
SL0158,S040,L017,GitLab proficiency at 2-5 Years Experience level
SL0159,S040,L018,GitLab proficiency at 5-8 Years Experience level
SL0160,S040,L019,GitLab proficiency at 8-12 Years Experience level
SL0161,S041,L016,Machine Learning proficiency at 0-2 Years Experience level
SL0162,S041,L017,Machine Learning proficiency at 2-5 Years Experience level
SL0163,S041,L018,Machine Learning proficiency at 5-8 Years Experience level
SL0164,S041,L019,Machine Learning proficiency at 8-12 Years Experience level
SL0165,S042,L016,Deep Learning proficiency at 0-2 Years Experience level
SL0166,S042,L017,Deep Learning proficiency at 2-5 Years Experience level
SL0167,S042,L018,Deep Learning proficiency at 5-8 Years Experience level
SL0168,S042,L019,Deep Learning proficiency at 8-12 Years Experience level
SL0169,S043,L016,TensorFlow proficiency at 0-2 Years Experience level
SL0170,S043,L017,TensorFlow proficiency at 2-5 Years Experience level
SL0171,S043,L018,TensorFlow proficiency at 5-8 Years Experience level
SL0172,S043,L019,TensorFlow proficiency at 8-12 Years Experience level
SL0173,S044,L016,PyTorch proficiency at 0-2 Years Experience level
SL0174,S044,L017,PyTorch proficiency at 2-5 Years Experience level
SL0175,S044,L018,PyTorch proficiency at 5-8 Years Experience level
SL0176,S044,L019,PyTorch proficiency at 8-12 Years Experience level
SL0177,S045,L016,Pandas proficiency at 0-2 Years Experience level
SL0178,S045,L017,Pandas proficiency at 2-5 Years Experience level
SL0179,S045,L018,Pandas proficiency at 5-8 Years Experience level
SL0180,S045,L019,Pandas proficiency at 8-12 Years Experience level
SL0181,S046,L016,NumPy proficiency at 0-2 Years Experience level
SL0182,S046,L017,NumPy proficiency at 2-5 Years Experience level
SL0183,S046,L018,NumPy proficiency at 5-8 Years Experience level
SL0184,S046,L019,NumPy proficiency at 8-12 Years Experience level
SL0185,S047,L016,Scikit-learn proficiency at 0-2 Years Experience level
SL0186,S047,L017,Scikit-learn proficiency at 2-5 Years Experience level
SL0187,S047,L018,Scikit-learn proficiency at 5-8 Years Experience level
SL0188,S047,L019,Scikit-learn proficiency at 8-12 Years Experience level
SL0189,S048,L016,Matplotlib proficiency at 0-2 Years Experience level
SL0190,S048,L017,Matplotlib proficiency at 2-5 Years Experience level
SL0191,S048,L018,Matplotlib proficiency at 5-8 Years Experience level
SL0192,S048,L019,Matplotlib proficiency at 8-12 Years Experience level
SL0193,S049,L016,Seaborn proficiency at 0-2 Years Experience level
SL0194,S049,L017,Seaborn proficiency at 2-5 Years Experience level
SL0195,S049,L018,Seaborn proficiency at 5-8 Years Experience level
SL0196,S049,L019,Seaborn proficiency at 8-12 Years Experience level
SL0197,S050,L016,Tableau proficiency at 0-2 Years Experience level
SL0198,S050,L017,Tableau proficiency at 2-5 Years Experience level
SL0199,S050,L018,Tableau proficiency at 5-8 Years Experience level
SL0200,S050,L019,Tableau proficiency at 8-12 Years Experience level
SL0201,S067,L016,Excel proficiency at 0-2 Years Experience level
SL0202,S067,L017,Excel proficiency at 2-5 Years Experience level
SL0203,S067,L018,Excel proficiency at 5-8 Years Experience level
SL0204,S067,L019,Excel proficiency at 8-12 Years Experience level
SL0205,S068,L016,PowerPoint proficiency at 0-2 Years Experience level
SL0206,S068,L017,PowerPoint proficiency at 2-5 Years Experience level
SL0207,S068,L018,PowerPoint proficiency at 5-8 Years Experience level
SL0208,S068,L019,PowerPoint proficiency at 8-12 Years Experience level
SL0209,S081,L016,C# proficiency at 0-2 Years Experience level
SL0210,S081,L017,C# proficiency at 2-5 Years Experience level
SL0211,S081,L018,C# proficiency at 5-8 Years Experience level
SL0212,S081,L019,C# proficiency at 8-12 Years Experience level
SL0213,S082,L016,PHP proficiency at 0-2 Years Experience level
SL0214,S082,L017,PHP proficiency at 2-5 Years Experience level
SL0215,S082,L018,PHP proficiency at 5-8 Years Experience level
SL0216,S082,L019,PHP proficiency at 8-12 Years Experience level
SL0217,S083,L016,Ruby proficiency at 0-2 Years Experience level
SL0218,S083,L017,Ruby proficiency at 2-5 Years Experience level
SL0219,S083,L018,Ruby proficiency at 5-8 Years Experience level
SL0220,S083,L019,Ruby proficiency at 8-12 Years Experience level
SL0221,S084,L016,Scala proficiency at 0-2 Years Experience level
SL0222,S084,L017,Scala proficiency at 2-5 Years Experience level
SL0223,S084,L018,Scala proficiency at 5-8 Years Experience level
SL0224,S084,L019,Scala proficiency at 8-12 Years Experience level
SL0225,S085,L016,Perl proficiency at 0-2 Years Experience level
SL0226,S085,L017,Perl proficiency at 2-5 Years Experience level
SL0227,S085,L018,Perl proficiency at 5-8 Years Experience level
SL0228,S085,L019,Perl proficiency at 8-12 Years Experience level
SL0229,S086,L016,Shell Scripting proficiency at 0-2 Years Experience level
SL0230,S086,L017,Shell Scripting proficiency at 2-5 Years Experience level
SL0231,S086,L018,Shell Scripting proficiency at 5-8 Years Experience level
SL0232,S086,L019,Shell Scripting proficiency at 8-12 Years Experience level
SL0233,S087,L016,PowerShell proficiency at 0-2 Years Experience level
SL0234,S087,L017,PowerShell proficiency at 2-5 Years Experience level
SL0235,S087,L018,PowerShell proficiency at 5-8 Years Experience level
SL0236,S087,L019,PowerShell proficiency at 8-12 Years Experience level
SL0237,S088,L016,MATLAB proficiency at 0-2 Years Experience level
SL0238,S088,L017,MATLAB proficiency at 2-5 Years Experience level
SL0239,S088,L018,MATLAB proficiency at 5-8 Years Experience level
SL0240,S088,L019,MATLAB proficiency at 8-12 Years Experience level
SL0241,S089,L016,SAS proficiency at 0-2 Years Experience level
SL0242,S089,L017,SAS proficiency at 2-5 Years Experience level
SL0243,S089,L018,SAS proficiency at 5-8 Years Experience level
SL0244,S089,L019,SAS proficiency at 8-12 Years Experience level
SL0245,S090,L016,SPSS proficiency at 0-2 Years Experience level
SL0246,S090,L017,SPSS proficiency at 2-5 Years Experience level
SL0247,S090,L018,SPSS proficiency at 5-8 Years Experience level
SL0248,S090,L019,SPSS proficiency at 8-12 Years Experience level
SL0249,S091,L016,Next.js proficiency at 0-2 Years Experience level
SL0250,S091,L017,Next.js proficiency at 2-5 Years Experience level
SL0251,S091,L018,Next.js proficiency at 5-8 Years Experience level
SL0252,S091,L019,Next.js proficiency at 8-12 Years Experience level
SL0253,S092,L016,Nuxt.js proficiency at 0-2 Years Experience level
SL0254,S092,L017,Nuxt.js proficiency at 2-5 Years Experience level
SL0255,S092,L018,Nuxt.js proficiency at 5-8 Years Experience level
SL0256,S092,L019,Nuxt.js proficiency at 8-12 Years Experience level
SL0257,S093,L016,FastAPI proficiency at 0-2 Years Experience level
SL0258,S093,L017,FastAPI proficiency at 2-5 Years Experience level
SL0259,S093,L018,FastAPI proficiency at 5-8 Years Experience level
SL0260,S093,L019,FastAPI proficiency at 8-12 Years Experience level
SL0261,S094,L016,NestJS proficiency at 0-2 Years Experience level
SL0262,S094,L017,NestJS proficiency at 2-5 Years Experience level
SL0263,S094,L018,NestJS proficiency at 5-8 Years Experience level
SL0264,S094,L019,NestJS proficiency at 8-12 Years Experience level
SL0265,S095,L016,ASP.NET proficiency at 0-2 Years Experience level
SL0266,S095,L017,ASP.NET proficiency at 2-5 Years Experience level
SL0267,S095,L018,ASP.NET proficiency at 5-8 Years Experience level
SL0268,S095,L019,ASP.NET proficiency at 8-12 Years Experience level
SL0269,S096,L016,CodeIgniter proficiency at 0-2 Years Experience level
SL0270,S096,L017,CodeIgniter proficiency at 2-5 Years Experience level
SL0271,S096,L018,CodeIgniter proficiency at 5-8 Years Experience level
SL0272,S096,L019,CodeIgniter proficiency at 8-12 Years Experience level
SL0273,S097,L016,Symfony proficiency at 0-2 Years Experience level
SL0274,S097,L017,Symfony proficiency at 2-5 Years Experience level
SL0275,S097,L018,Symfony proficiency at 5-8 Years Experience level
SL0276,S097,L019,Symfony proficiency at 8-12 Years Experience level
SL0277,S098,L016,Apache Spark proficiency at 0-2 Years Experience level
SL0278,S098,L017,Apache Spark proficiency at 2-5 Years Experience level
SL0279,S098,L018,Apache Spark proficiency at 5-8 Years Experience level
SL0280,S098,L019,Apache Spark proficiency at 8-12 Years Experience level
SL0281,S099,L016,Apache Kafka proficiency at 0-2 Years Experience level
SL0282,S099,L017,Apache Kafka proficiency at 2-5 Years Experience level
SL0283,S099,L018,Apache Kafka proficiency at 5-8 Years Experience level
SL0284,S099,L019,Apache Kafka proficiency at 8-12 Years Experience level
SL0285,S100,L016,RabbitMQ proficiency at 0-2 Years Experience level
SL0286,S100,L017,RabbitMQ proficiency at 2-5 Years Experience level
SL0287,S100,L018,RabbitMQ proficiency at 5-8 Years Experience level
SL0288,S100,L019,RabbitMQ proficiency at 8-12 Years Experience level
